Año,Mes,Municipio,Departamento,Presunto Responsable,Total de Víctimas del Caso,Latitud,Longitud
2015,03,BUENAVENTURA,VALLE DEL CAUCA,GRUPO POSDESMOVILIZACIÓN,1,3.493340766,-77.11872832
2015,06,LEJANIAS,META,GRUPO POSDESMOVILIZACIÓN,1,3.614714873,-74.09628467
2015,09,NECOCLI,ANTIOQUIA,GRUPO POSDESMOVILIZACIÓN,1,8.493728551,-76.67699588
2015,10,NECOCLI,ANTIOQUIA,GRUPO POSDESMOVILIZACIÓN,3,8.493728551,-76.67699588
1986,00,LA DORADA,CALDAS,GRUPO PARAMILITAR,1,5.410515691,-74.72114262
1996,07,ANDES,ANTIOQUIA,GRUPO PARAMILITAR,1,5.604993248,-75.94128391
2002,10,CARTAGENA DEL CHAIRA,CAQUETA,GUERRILLA,1,0.647693081,-74.27235499
2000,07,FLORENCIA,CAQUETA,GRUPO PARAMILITAR,1,1.749138704,-75.55823906
0000,06,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,1,4.316107698,-74.1810727
1999,12,CURILLO,CAQUETA,GUERRILLA,12,1.115379292,-75.97328452
1967,00,SIN INFORMACION,SIN INFORMACION,OTRO ¿CUÁL?,1,4,-72
0000,00,MEDELLIN,ANTIOQUIA,GRUPO PARAMILITAR,1,6.257590259,-75.61103107
1994,01,SIN INFORMACION,SIN INFORMACION,GUERRILLA,1,4,-72
1993,07,OCAÑA,NORTE DE SANTANDER,GUERRILLA,1,8.206637527,-73.33765033
2003,04,VALDIVIA,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,2,7.265404213,-75.40094502
1987,06,SAN ROQUE,ANTIOQUIA,GUERRILLA,1,6.466165211,-74.9450732
1995,00,ICONONZO,TOLIMA,GUERRILLA,1,4.133276369,-74.53964257
